player,season,assists
"Mark Jackson",1996-97,2.11
"Rod Strickland",1997-98,2.16
"Jason Kidd",1998-99,2.08
"Jason Kidd",1999-00,2.28
"Jason Kidd",2000-01,2.18
"Andre Miller",2001-02,2.21
"Jason Kidd",2002-03,2.34
"Jason Kidd",2003-04,2.11
"Steve Nash",2004-05,2.17
"Steve Nash",2005-06,2.06
"Steve Nash",2006-07,2.16
"Chris Paul",2007-08,2.24
"Chris Paul",2008-09,2.09
"Steve Nash",2009-10,2.19
"Steve Nash",2010-11,2.21
"Rajon Rondo",2011-12,1.77
"Rajon Rondo",2012-13,2.13
"Chris Paul",2013-14,2.2
"Chris Paul",2014-15,2.27
"Rajon Rondo",2015-16,2.44
"James Harden",2016-17,3.23
"Russell Westbrook",2017-18,3.1
"Russell Westbrook",2018-19,3.57
"LeBron James",2019-20,3.48
"Russell Westbrook",2020-21,4.01
"Chris Paul",2021-22,2.85
"James Harden",2022-23,3.37
