player,season,rebounds
"Dennis Rodman",1996-97,16.1
"Dennis Rodman",1997-98,15
"Chris Webber",1998-99,13
"Dennis Rodman",1999-00,14.3
"Danny Fortson",2000-01,16.3
"Ben Wallace",2001-02,13
"Ben Wallace",2002-03,15.4
"Kevin Garnett",2003-04,13.9
"Kevin Garnett",2004-05,13.5
"Kevin Garnett",2005-06,12.7
"Kevin Garnett",2006-07,12.8
"Dwight Howard",2007-08,14.2
"Dwight Howard",2008-09,13.8
"Dwight Howard",2009-10,13.2
"Kevin Love",2010-11,15.2
"Dwight Howard",2011-12,14.5
"Anderson Varejao",2012-13,14.4
"DeAndre Jordan",2013-14,13.6
"DeAndre Jordan",2014-15,15
"Andre Drummond",2015-16,14.8
"Hassan Whiteside",2016-17,14.1
"Andre Drummond",2017-18,16
"Andre Drummond",2018-19,15.6
"Andre Drummond",2019-20,15.2
"Clint Capela",2020-21,14.3
"Rudy Gobert",2021-22,14.7
"Anthony Davis",2022-23,12.5
