player,season,pts
"Michael Jordan",1996-97,29.6
"Michael Jordan",1997-98,28.7
"Allen Iverson",1998-99,26.8
"Shaquille O'Neal",1999-00,29.7
"Allen Iverson",2000-01,31.1
"Allen Iverson",2001-02,31.4
"Tracy McGrady",2002-03,32.1
"Tracy McGrady",2003-04,28
"Allen Iverson",2004-05,30.7
"Kobe Bryant",2005-06,35.4
"Kobe Bryant",2006-07,31.6
"LeBron James",2007-08,30
"Dwyane Wade",2008-09,30.2
"Kevin Durant",2009-10,30.1
"Kevin Durant",2010-11,27.7
"Kevin Durant",2011-12,28
"Carmelo Anthony",2012-13,28.7
"Kevin Durant",2013-14,32
"Russell Westbrook",2014-15,28.1
"Stephen Curry",2015-16,30.1
"Russell Westbrook",2016-17,31.6
"James Harden",2017-18,30.4
"James Harden",2018-19,36.1
"James Harden",2019-20,34.3
"Stephen Curry",2020-21,32
"Joel Embiid",2021-22,30.6
"Joel Embiid",2022-23,33.1
