subscriber_type,duration_minutes
$1 Pay by Trip Fall Special,75.50214592274678
$1 Pay by Trip Winter Special,72.75785340314137
24 Hour Walk Up Pass,43.5762185736275
24-Hour Membership,29.0
3-Day Explorer,34.623337765957444
3-Day Weekender,34.473895737527535
7-Day,14.741027445460944
ACL 2019 Pass,31.869565217391305
ACL Weekend Pass Special,21.147335423197493
Aluminum Access,11.583333333333334
Annual,19.54211956521739
Annual ,38.165884194053206
Annual Member,19.544794188861985
Annual Membership,19.116296863045143
Annual Membership ,12.285714285714286
Annual Pass,20.800847457627118
Annual Pass (30 minute),8.5
Annual Pass (Original),14.333333333333334
Annual Plus,16.453488372093023
Annual Plus Membership,18.153846153846153
Denver B-cycle Founder,12.5
Explorer,43.21302683481336
Explorer ($8 plus tax),32.175824175824175
Founding Member,9.925122349102773
FunFunFun Fest 3 Day Pass,19.333333333333332
HT Ram Membership,56.82725241995532
Heartland Pass (Annual Pay),27.5
Heartland Pass (Monthly Pay),23.0
Local30,19.74147049859261
Local30 ($11 plus tax),12.336585365853658
Local31,28.881218091259864
Local365,17.532528586534696
Local365 ($80 plus tax),13.488419969119917
Local365 Youth (age 13-17 riders),26.723372781065088
Local365 Youth (age 13-17 riders)- 1/2 off Special,7.0
Local365 Youth with helmet (age 13-17 riders),15.43956043956044
Local365+Guest Pass,18.75639559811348
Local365+Guest Pass- 1/2 off Anniversary Special,23.472103004291846
Local365- 1/2 off Anniversary Special,24.499140006879944
Madtown Monthly,17.904761904761905
Membership: pay once  one-year commitment,8.846153846153847
"Membership: pay once, one-year commitment",13.0
Pay-as-you-ride,47.87498591549296
RESTRICTED,8.0
Republic Rider,20.375
Republic Rider (Annual),18.965870307167236
RideScout Single Ride,2.0
RideScout Single Tide,19.38532110091743
Semester Membership,10.764159702878366
Single Trip,69.09859429910192
Single Trip ,90.22188060466308
Single Trip (Pay-as-you-ride),64.67341449603624
Single Trip Ride,83.07038598767434
Student Membership,14.676100104674266
Try Before You Buy Special,52.97142857142857
U.T. Student Membership,18.711502741218588
UT Student Membership,9.777777777777779
Walk Up,46.783321284090384
Weekender,26.09953086419753
Weekender ($15 plus tax),18.945454545454545
